"M.H. Marathi Highschool Shivaji Path, Thane (W) (English Medium)  (Aided) ",,Mumbai,Science
"V. G. Vaze College Of Arts Sci And Commerce, Mithagar Road, Mulund (East). (English Medium)  (Aided) ",,Mumbai,Science
B  N Bandodkar College Of Science Thane West (English Medium)  (Aided) ,,Mumbai,Science
"Ramnivas Ruia Junior College, Matunga, Mumbai. (English Medium)  (Aided) ",,Mumbai,Science
"S. E. S. High School & Jr Collegepanchpakhadi, Thane (West). (English Medium)  (Aided) ",,Mumbai,Science
"Narayana Junior  College,Thane West (English Medium)  (Self Finance) ",,Mumbai,Science
"Saransh Foundations Lakshya Prep High School & Junior College, Borivali (English Medium)  (Self Finance) ",,Mumbai,Science
"Father Agnel Multipurpose School And Jr College, Vashi, Navi Mumbai. (English Medium)  (Permanent Unaided) ",,Mumbai,Science
"D. G. Ruparel College Of Arts,Sci & Comm., Mahim, Mumbai. (English Medium)  (Aided) ",,Mumbai,Science
"K.E.S. V.K. High School & Jr. College, Panvel (English Medium)  (Aided) ",,Mumbai,Science
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (English Medium)  (Aided) ",,Mumbai,Science
Bharati Vidyapeeth Prashala  Jr College   Cbd  (English Medium)  (Aided) ,,Mumbai,Science
R.V.Nerurkar High School And Jr College Dombivli East (English Medium)  (Aided) ,,Mumbai,Science
"Changu Kana Thakur Secondary & Higher Secondary Vidyalaya, New Panvel. (English Medium)  (Aided) ",,Mumbai,Science
"R. F. Naik Vidyalya Secondary & Higher Secondary School, Sector   8, Koparkhairne, Navi Mumbai. (English Medium)  (Aided) ",,Mumbai,Science
S. S. & L. S. Patkar College Goregaon West (English Medium)  (Aided) ,,Mumbai,Science
"Smt.Chm College, Ulhasnagar   3. (English Medium)  (Aided) ",,Mumbai,Science
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (English Medium)  (Unaided) ",,Mumbai,Science
"St.Xavier'S College, Fort,  Mumbai.  (English Medium)  (Aided) ",,Mumbai,Science
S.E.S Secondary & Higher Secondary School Kalamboli  (English Medium)  (Aided) ,,Mumbai,Science
"Shree Krishna Foundations Lakshya Prep High School & Junior College, Kalyan (English Medium)  (Self Finance) ",,Mumbai,Science
Shree Mumbadevi Jr College Of Commerce And The New Sarvajanik Edu Soc Jr College Of Science (English Medium)  (Self Finance) ,,Mumbai,Science
"St. Xavier English High School & Jr. College, Kalyan.  (English Medium)  (Self Finance) ",,Mumbai,Science
"Ramniranjan Jhunjhunwala College, Ghatkopar (W). (English Medium)  (Aided) ",,Mumbai,Science
"Sardar Vallabhbhai Patel Junior College Of  Science  And  Commerce, Dahisar (East). (English Medium)  (Permanent Unaided) ",,Mumbai,Science
"Rao Junior College Of Science, Borivali. (English Medium)  (Self Finance) ",,Mumbai,Science
"S. V. P. V. Vidyalaya & T. P.  Bhatia Jr. College, Kandivali (W). (English Medium)  (Aided) ",,Mumbai,Science
"New English Highschool Marathi, Ghantali Colony, Naupada, Thane (W). (English Medium)  (Aided) ",,Mumbai,Science
